100,"(-0.000604960677555999, 0.003024803387779773, -0.001814882032667886)",2005-09-07 09:30:00,2005-09-15 14:00:00
150,"(-0.003024803387779773, 0.003024803387779773, -0.00423472474289166)",2005-09-07 09:30:00,2005-09-21 09:15:00
25,"(-0.0006038647342995196, 0.0006038647342994086, -0.0018115942028985588)",2005-09-07 10:15:00,2005-09-08 14:45:00
50,"(-0.0024154589371980784, 0.0012077294685990392, -0.0036231884057971175)",2005-09-07 10:15:00,2005-09-12 11:30:00
75,"(-0.0012077294685990392, 0.0012077294685990392, -0.0036231884057971175)",2005-09-07 10:15:00,2005-09-14 10:00:00
100,"(-0.0024154589371980784, 0.0012077294685990392, -0.0036231884057971175)",2005-09-07 10:15:00,2005-09-15 14:45:00
150,"(-0.004830917874396157, 0.0012077294685990392, -0.006038647342995196)",2005-09-07 10:15:00,2005-09-21 10:00:00
25,"(-0.001207000603500319, 0.0, -0.0030175015087507973)",2005-09-12 09:30:00,2005-09-13 14:00:00
50,"(-0.0030175015087507973, 0.0, -0.0030175015087507973)",2005-09-12 09:30:00,2005-09-15 10:45:00
75,"(-0.0060350030175014835, 0.0, -0.006638503319251643)",2005-09-12 09:30:00,2005-09-19 09:15:00
100,"(-0.005431502715751324, 0.0, -0.006638503319251643)",2005-09-12 09:30:00,2005-09-20 14:00:00
150,"(-0.004828002414001165, 0.0, -0.007242003621001802)",2005-09-12 09:30:00,2005-09-26 09:15:00
25,"(-0.0006064281382656134, 0.0006064281382656134, -0.0012128562765312267)",2005-09-19 09:45:00,2005-09-20 14:15:00
50,"(-0.0012128562765312267, 0.0018192844147968401, -0.0024257125530624535)",2005-09-19 09:45:00,2005-09-22 11:00:00
75,"(0.0006064281382656134, 0.004244996967859294, -0.0024257125530624535)",2005-09-19 09:45:00,2005-09-26 09:30:00
100,"(0.006064281382656134, 0.006670709520921747, -0.0024257125530624535)",2005-09-19 09:45:00,2005-09-27 14:15:00
150,"(0.0072771376591873604, 0.009702850212249814, -0.0024257125530624535)",2005-09-19 09:45:00,2005-10-10 09:30:00
25,"(0.02570233114166176, 0.032277346084877534, 0.0)",2005-10-11 09:30:00,2005-10-12 14:00:00
50,"(0.022115959354453096, 0.032277346084877534, 0.0)",2005-10-11 09:30:00,2005-10-14 10:45:00
75,"(0.04662283323371197, 0.0514046622833233, 0.0)",2005-10-11 09:30:00,2005-10-18 09:15:00
100,"(0.03287507471607887, 0.0514046622833233, 0.0)",2005-10-11 09:30:00,2005-10-19 14:00:00
150,"(0.02570233114166176, 0.0514046622833233, 0.0)",2005-10-11 09:30:00,2005-10-25 09:15:00
25,"(0.017793594306049876, 0.02431791221826818, 0.0)",2005-10-11 10:00:00,2005-10-12 14:30:00
50,"(0.01720047449584805, 0.02431791221826818, 0.0)",2005-10-11 10:00:00,2005-10-14 11:15:00
75,"(0.03736654804270456, 0.04329774614472126, 0.0)",2005-10-11 10:00:00,2005-10-18 09:45:00
100,"(0.02431791221826818, 0.04329774614472126, 0.0)",2005-10-11 10:00:00,2005-10-19 14:30:00
150,"(0.017793594306049876, 0.04329774614472126, 0.0)",2005-10-11 10:00:00,2005-10-25 09:45:00
25,"(0.005875440658049458, 0.014688601645123311, -0.009400705052878933)",2005-10-11 10:15:00,2005-10-12 14:45:00
50,"(0.00763807285546414, 0.014688601645123311, -0.009400705052878933)",2005-10-11 10:15:00,2005-10-14 11:30:00
75,"(0.027027027027026973, 0.0334900117508814, -0.009400705052878933)",2005-10-11 10:15:00,2005-10-18 10:00:00
100,"(0.016451233842538215, 0.0334900117508814, -0.009400705052878933)",2005-10-11 10:15:00,2005-10-19 14:45:00
150,"(0.008225616921269108, 0.0334900117508814, -0.009400705052878933)",2005-10-11 10:15:00,2005-10-25 10:00:00
25,"(0.005847953216374213, 0.009941520467836362, -0.01403508771929829)",2005-10-11 11:00:00,2005-10-13 09:15:00
50,"(0.0017543859649122862, 0.009941520467836362, -0.01403508771929829)",2005-10-11 11:00:00,2005-10-14 14:00:00
75,"(0.02163742690058479, 0.028654970760233933, -0.01403508771929829)",2005-10-11 11:00:00,2005-10-18 10:45:00
100,"(0.009356725146198785, 0.028654970760233933, -0.01403508771929829)",2005-10-11 11:00:00,2005-10-20 09:15:00
150,"(0.004093567251461927, 0.028654970760233933, -0.01403508771929829)",2005-10-11 11:00:00,2005-10-25 10:45:00
25,"(-0.004634994206257237, 0.0028968713789108147, -0.004634994206257237)",2005-11-18 10:00:00,2005-11-21 14:30:00
50,"(-0.0011587485515642815, 0.0028968713789108147, -0.004634994206257237)",2005-11-18 10:00:00,2005-11-23 11:15:00
75,"(0.011587485515643037, 0.012166859791425289, -0.005793742757821518)",2005-11-18 10:00:00,2005-11-25 09:45:00
100,"(0.013904982618771822, 0.023174971031286296, -0.005793742757821518)",2005-11-18 10:00:00,2005-11-28 14:30:00
150,"(0.03997682502896871, 0.043453070683661554, -0.005793742757821518)",2005-11-18 10:00:00,2005-12-02 09:45:00
25,"(0.002317497103128563, 0.0034762456546928444, -0.005793742757821518)",2005-11-23 09:30:00,2005-11-24 14:00:00
50,"(0.011587485515643037, 0.023174971031286296, -0.005793742757821518)",2005-11-23 09:30:00,2005-11-28 10:45:00
75,"(0.0191193511008112, 0.028968713789107703, -0.005793742757821518)",2005-11-23 09:30:00,2005-11-30 09:15:00
100,"(0.023174971031286296, 0.028968713789107703, -0.005793742757821518)",2005-11-23 09:30:00,2005-12-01 14:00:00
150,"(0.07589803012746232, 0.0892236384704519, -0.005793742757821518)",2005-11-23 09:30:00,2005-12-07 09:15:00
25,"(0.004022988505747227, 0.014942528735632177, -0.002873563218390829)",2005-11-25 09:15:00,2005-11-28 13:45:00
50,"(0.01379310344827589, 0.020689655172413834, -0.002873563218390829)",2005-11-25 09:15:00,2005-11-30 10:15:00
